dutch,english
tevreden,satisfied
voorzichtig,careful
sip,a bit sad
slap,weak / no energy
ongerust,anxious
ondertiteling,subtitles
behandelen,to deal with / to treat
benieuwd,curious
samenvatting,summary
onhandig,awkward / clumsy
huisgenoten,housemates
trouwens,by the way
zuchten,to sigh
voorlopig,for the time being
voeren,to feed / to conduct
voren,forward
asiel,asylum / shelter
lastig,annoying / difficult
vrolijk,cheerful
hoe kom je daarbij,what makes you think that
op zoek zijn (naar),to be looking for
teleurgesteld,disappointed
(on)zin,(non)sense
opschieten,hurry up
het karton,cardboard
het fluweel,velvet
het ijzer,iron
glad,smooth / slippery
vervoeren,to transport
goederen,goods
onvoldoende,insufficient
letterkunde,literature
heelal,universe
oneindig,endless / infinite
beleid,policy
geldig,valid
eenvoudig,simple
vlug,quick(ly)
afscheid,farewell
aandacht,attention
alvast,already / in advance
meerdere,several
voorstellen,to introduce / to propose
kletsen,to chat
beduusd,stunned / bewildered
leerzaam,educational
omgeving,environment / surroundings
ingewikkeld,complicated
eigenlijk,actually
opgewekt,cheerful / upbeat
bos bloemen,bunch of flowers
bekennen,to confess
onverwachts,unexpected
toegeven,to admit
opgelucht,relieved
vervelend,annoying / unpleasant
ontroerd,emotionally moved
verveeld,bored
kwaad,angry
zenuwachtig,nervous
ongemakkelijk,uncomfortable
bovendien,moreover
op m’n gemak,comfortable / at ease
gemakkelijk,easy / convenient
hoog opgeleid,highly educated
vrijwilliger,volunteer
onderzoek blijkt,study shows
blijken uit,to be evident from
een op de vijf,one in five
tussen ons houden,to keep between us
leugenaar,liar
vies,dirty
huishouden,household (chores)
verlopen,to expire / to proceed
strak,tight / sleek
te mooi om waar te zijn,too good to be true
schreeuwen,to scream
nauwelijks,hardly
amper,barely
alleen maar,only / merely
pas,only just / not until
bevatten,to contain / to comprise
getroost,comforted
overtuigen,to convince
zich ergeren,to be annoyed
reageren (op),to react (to)
